STAID,STANAME,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,BOUND_SOURCE,HCDN-2009,HBN36,OLD_HCDN,NSIP_SENTINEL,FIPS_SITE,COUNTYNAME_SITE,NAWQA_SUID
03175500,"WOLF CREEK NEAR NARROWS, VA",578.3,05,37.305677,-80.849799,VA,1,NA,NA,yes,NA,51071,Giles,NA
03177710,"BLUESTONE RIVER AT FALLS MILLS, VA",114.9,05,37.271506,-81.304823,VA,1,NA,NA,NA,NA,51185,Tazewell,NA
